variable,original_freq
CPI_KR_YoY,monthly
AUD_USD,daily
BRL_USD,daily
Breakeven_10Y,daily
Breakeven_5Y,daily
CAD_USD,daily
CHF_USD,daily
CNY_USD,daily
Chicago_ANFCI,daily
Chicago_NFCI,daily
DXY_AFE,daily
DXY_Broad,daily
DXY_EME,daily
Diesel_US,daily
EUR_USD,daily
Fwd5Y5Y_Infl,daily
GBP_USD,daily
Gasoline_Reg,daily
HKD_USD,daily
ICE_BBB_OAS,daily
ICE_HY_OAS,daily
ICE_IG_OAS,daily
ICE_SingleB_OAS_v2,daily
INR_USD,daily
JPY_USD,daily
MXN_USD,daily
MYR_USD,daily
NASDAQ,daily
NOK_USD,daily
NatGas_HH,daily
Oil_Brent_d,daily
Oil_WTI,daily
Oil_WTI_d,daily
Propane,daily
SEK_USD,daily
SGD_USD,daily
Spread_10Y2Y,daily
Spread_10Y3M,daily
Spread_10YFF,daily
Spread_AAA10Y,daily
Spread_BAA10Y,daily
StL_FSI,daily
TED_Spread,daily
THB_USD,daily
TIPS_10Y,daily
TIPS_5Y,daily
TWD_USD,daily
USD_KRW,daily
UST_10Y,daily
UST_1M,daily
UST_1Y,daily
UST_20Y,daily
UST_2Y,daily
UST_30Y,daily
UST_3M,daily
UST_3Y,daily
UST_5Y,daily
UST_6M,daily
UST_7Y,daily
US_ContClaims,daily
US_FedFunds_d,daily
US_InitClaims,daily
US_Mortgage15Y,daily
US_Mortgage30Y,daily
US_PrimeLoan_d,daily
VIX,daily
ZAR_USD,daily
AgRawMat_Idx,monthly
AllCommod_Idx,monthly
Aluminum,monthly
BCB_Rate,monthly
BOC_Rate,monthly
BOJ_Rate,monthly
BR_CPI,monthly
BR_DiscountRate,monthly
BR_Interbank,monthly
Bananas,monthly
Beef,monthly
CA_CPI,monthly
CN_CLI,monthly
CN_CPI,monthly
CN_DiscountRate,monthly
CN_Interbank3M,monthly
CN_PPI,monthly
CN_REER,monthly
CPI_US_YoY,monthly
CPI_XM_YoY,monthly
CassFreight_Exp,monthly
CassFreight_Ship,monthly
Coal_AU,monthly
Coffee,monthly
Copper,monthly
Corn,monthly
Cotton,monthly
DE_10Y_Bond,monthly
DE_CPI,monthly
EA_HICP,monthly
ECB_DepoRate,monthly
ECB_RefiRate,monthly
EU4_CLI,monthly
Energy_Idx,monthly
FR_CPI,monthly
Fed_TotalAssets,monthly
Food_Idx,monthly
FreightTSI,monthly
FreightTSI_Comb,monthly
G20_CPI,monthly
G7_CLI,monthly
Gasoline_Reg_m,monthly
GlobalRealAct,monthly
HardLogs,monthly
ID_CPI,monthly
IN_CPI,monthly
IN_DiscountRate,monthly
IN_Interbank,monthly
IronOre,monthly
JP_10Y_Bond,monthly
JP_CLI,monthly
JP_CPI,monthly
JP_CoreCPI,monthly
JP_Interbank3M,monthly
JP_REER,monthly
KC_FSI,monthly
KR_3M_v2,monthly
KR_CLI,monthly
KR_CPI_OECD,monthly
KR_CPI_Q,monthly
KR_CallRate,monthly
KR_ConsConf,monthly
KR_DiscountRate,monthly
KR_Exports,monthly
KR_Imports,monthly
KR_IndProd,monthly
KR_IndProd_YoY,monthly
KR_LongRate,monthly
KR_M2,monthly
KR_MfgProd,monthly
KR_NEER,monthly
KR_NetTrade,monthly
KR_PPI_Energy,monthly
KR_REER,monthly
LNG_Asia,monthly
Lead,monthly
MX_CPI,monthly
Metals_Idx,monthly
Moodys_AAA,monthly
Moodys_BAA,monthly
NY_EmpireMfg,monthly
NatGas_EU,monthly
NatGas_HH_m,monthly
Nickel,monthly
OECD_EU_CPI,monthly
Oil_Brent_m,monthly
Oil_Brent_mEIA,monthly
Oil_WTI_Spot,monthly
Oil_WTI_m,monthly
Oil_WTI_mEIA,monthly
OliveOil,monthly
PBOC_Rate,monthly
PPI_CopperNickel,monthly
PPI_DeepSeaFrt,monthly
PPI_DeepSeaFrt2,monthly
PPI_FarmProd,monthly
PPI_Fuels,monthly
PPI_Grains,monthly
PPI_Metals,monthly
PPI_Oilseeds,monthly
PPI_Trucking,monthly
Pork,monthly
RBI_Rate,monthly
RU_CPI,monthly
Rate_ECB,monthly
Rate_KR,monthly
Rice,monthly
Soybeans,monthly
Sugar,monthly
SunflowerOil,monthly
TBill_3M,monthly
TR_CPI,monthly
Tin,monthly
UK_10Y_Bond,monthly
